Date,Open,High,Low,Close,Adj Close,Volume
2002-01-14,38.500000,39.500000,38.062500,38.400002,28.752197,83688
2002-01-15,38.112499,38.724998,37.150002,37.412498,28.012808,47496
2002-01-16,38.049999,38.500000,37.125000,37.700001,28.228085,51624
2002-01-17,36.250000,38.750000,36.250000,38.337502,28.705404,85840
2002-01-18,38.750000,39.974998,38.150002,38.549999,28.864521,78928
2002-01-21,38.025002,38.200001,37.275002,37.700001,28.228085,21928
2002-01-22,37.474998,38.674999,37.474998,37.912498,28.387188,39712
2002-01-23,37.012501,38.187500,36.562500,36.950001,27.666502,30656
2002-01-24,38.000000,38.250000,36.950001,37.162498,27.825609,42248
2002-01-25,36.312500,37.375000,35.500000,36.075001,27.011347,59912
2002-01-28,35.000000,35.500000,33.937500,34.387501,25.747822,53640
2002-01-29,34.987499,35.750000,34.150002,34.650002,25.944368,37352
2002-01-30,34.625000,35.000000,33.375000,33.424999,25.027151,13784
2002-01-31,33.500000,35.125000,33.500000,34.937500,26.159637,23544
2002-02-01,35.500000,35.750000,34.500000,35.000000,26.206444,38352
2002-02-04,34.250000,34.712502,34.012501,34.437500,25.785267,23008
2002-02-05,34.487499,34.775002,33.875000,33.974998,25.438959,10192
2002-02-06,39.349998,39.349998,35.500000,38.250000,28.639900,129800
2002-02-07,37.125000,38.400002,36.000000,36.262501,27.151751,66864
2002-02-08,36.724998,36.987499,35.625000,35.787498,26.796074,23920
2002-02-11,36.500000,38.125000,36.500000,36.924999,27.647795,65120
2002-02-12,38.250000,39.187500,37.000000,37.275002,27.909861,47464
2002-02-13,38.000000,38.474998,35.750000,36.762501,27.526121,51592
2002-02-14,38.587502,38.599998,36.500000,36.575001,27.385733,47136
2002-02-15,36.112499,37.474998,36.112499,36.950001,27.666502,33280
2002-02-18,35.775002,37.500000,35.775002,36.812500,27.563559,22992
2002-02-19,37.625000,40.000000,36.299999,38.200001,28.602459,163760
2002-02-20,39.700001,43.674999,39.012501,41.112499,30.783194,1180584
2002-02-21,42.250000,43.625000,40.750000,41.424999,31.017191,434016
2002-02-22,39.750000,41.750000,39.625000,40.787498,30.539852,217112
2002-02-25,40.500000,41.250000,40.025002,40.212502,30.109324,72552
2002-02-26,41.237499,41.275002,39.762501,40.275002,30.156118,60256
2002-02-27,40.687500,41.250000,38.625000,38.875000,29.107864,75232
2002-02-28,39.212502,40.000000,35.375000,35.950001,26.917755,92992
2002-03-01,36.000000,37.474998,34.575001,36.787498,27.544834,63144
2002-03-04,39.474998,39.474998,36.750000,37.137501,27.806904,45176
2002-03-05,38.750000,39.200001,37.250000,37.450001,28.040880,73640
